行业中文名,行业简称
申万机械设备1,SWJXSB1
申万基础化工,SWJCHG
申万基础建设,SWJCJS
申万基础建设3,SWJCJS3
申万基建市政工程,SWJJSZGC
申万激光设备,SWJGSB
申万集成电路,SWJCDL
申万集成电路封测,SWJCDLFC
申万计算机,SWJSJ
申万计算机设备,SWJSJSB
申万计算机设备3,SWJSJSB3
申万计算机应用,SWJSJYY
申万家电零部件,SWJDLBJ
申万家电零部件2,SWJDLBJ2
申万家电零部件3,SWJDLBJ3
申万家居用品,SWJJYP
申万家具,SWJJ
申万家用电器,SWJYDQ
申万钾肥,SWJF
申万价值发现,SWJZFX
申万价值稳健,SWJZWJ
申万价值优势,SWJZYS
申万价值优势收益,SWJZYSSY
申万检测服务,SWJCFW
申万建筑材料,SWJZCL
申万建筑材料2,SWJZCL2
申万建筑建材1,SWJZJC1
申万建筑装饰,SWJZZS
申万建筑装饰2,SWJZZS2
申万交换设备,SWJHSB
申万交通运输,SWJTYS
申万交运设备1,SWJYSB1
申万焦煤,SWJM
申万焦炭2,SWJT2
申万焦炭3,SWJT3
申万焦炭加工,SWJTJG
申万教育,SWJY
申万教育出版,SWJYCB
申万金融服务1,SWJRFW1
申万金融控股,SWJRKG
申万金属包装,SWJSBZ
申万金属新材料,SWJSXCL
申万金属制品,SWJSZP
申万金属制品2,SWJZZP2
申万景点,SWJD
申万酒店2,SWJD2
申万酒店餐饮,SWJDCY
申万聚氨酯,SWJAZ
申万军工电子2,SWJGDZ2
申万军工电子3,SWJGDZ3
申万空调,SWKD
申万跨境电商,SWKJDS
申万跨境物流,SWKJWL
申万锂电池,SWLDC
申万锂电专用设备,SWLDZYSB
申万炼化及贸易,SWLHJMY
申万炼油化工,SWLYHG
申万粮食种植,SWLSZZ
申万粮油加工,SWLYJG
申万林业2,SWLY2
申万林业3,SWLY3
申万磷肥及磷化工,SWLFJLHG
申万磷化工及磷酸盐,SWLHGJLSY
申万零食,SWLS
申万零售2,SWLS2
申万楼宇设备,SWLYSB
申万路桥施工,SWLQSG
申万轮胎,SWLT
申万轮胎轮毂,SWLTLG
申万旅游及景区,SWLYJJQ
申万旅游综合,SWLYZH
申万旅游综合2,SWLYZH2
申万铝,SWL
申万铝3,SWL3
申万氯碱,SWLJ
申万毛纺,SWMF
申万贸易2,SWMY2
申万贸易3,SWMY3
申万煤化工,SWMHG
申万煤炭,SWMT
申万煤炭开采,SWMTKC
申万煤炭开采2,SWMTKC2
申万煤炭开采3,SWMTKC3
申万美容护理,SWMRHL
申万门户网站,SWMHWZ
申万面板,SWMB
申万民爆制品,SWMBZP
申万模拟芯片设计,SWMNXPSJ
申万膜材料,SWMCL
申万摩托车,SWMTC
申万摩托车3,SWMTC3
申万摩托车及其他,SWMTCJQT
申万磨具磨料,SWMJML
申万耐火材料,SWNHCL
申万男装,SWNZ
申万内燃机,SWNRJ
申万能源及重型设备,SWNYJZXSB
申万能源金属,SWNYJS
申万农产品加工,SWNCPJG
申万农化制品,SWNHZP
申万农机设备,SWNJSB
申万农林牧渔,SWNLMY
申万农商行2,SWNSH2
申万农商行3,SWNSH3
申万农药,SWNY
申万农业综合2,SWNYZH2
申万农业综合3,SWNYZH3
申万农用机械,SWNYJX
申万培训教育,SWPXJY
申万配电设备,SWPDSB
申万啤酒,SWPJ
申万品牌化妆品,SWPPHZP
申万品牌消费电子,SWPPXFDZ
申万平面媒体,SWPMMT
申万葡萄酒,SWPTJ
申万其他采掘2,SWQTCJ2
申万其他采掘3,SWQTCJ3
申万其他采掘服务,SWQTCJFW
申万其他电力设备3,SWQTDLSB3
申万其他电源设备2,SWQTDYSB2
申万其他电源设备3,SWQTDYSB3
申万其他电子2,SWQTDZ2
申万其他电子3,SWQTDZ3
申万其他纺织,SWQTFZ
申万其他黑色家电,SWQTHSJD
申万其他互联网服务,SWQTHLWFW
申万其他化工新材料3,SWQTHGXCL3
申万其他化学纤维,SWQTHXXW
申万其他化学原料,SWQTHXYL
申万其他化学制品,SWQTHXZP
申万其他基础建设,SWQTJCJS
申万其他计算机设备,SWQTJSJSB
申万其他家居用品,SWQTJJYP
申万其他家用轻工,SWQTJYQG
申万其他建材,SWQTJC
申万其他交运设备3,SWQTJYSB3
申万其他交运设备服务3,SWQTJYSBFW3
申万其他金属新材料,SWQTJSXCL
申万其他酒类,SWQTJL
申万其他农产品加工,SWQTNCPJG
申万其他汽车零部件,SWQTQCLBJ
申万其他轻工制造2,SWQTQGZZ2
申万其他轻工制造3,SWQTQGZZ3
申万其他生物制品,SWQTSWZP
申万其他石化,SWQTSH
申万其他食品,SWQTSP
申万其他塑料制品,SWQTSLZP
申万其他通信设备,SWQTTXSB
申万其他通用设备,SWQTTYSB
申万其他文化传媒,SWQTWHCM
申万其他橡胶制品,SWQTXJZP
申万其他小金属,SWQTXJS
申万其他休闲服务2,SWQTXXFW2
申万其他休闲服务3,SWQTXXFW3
申万其他运输设备,SWQTYSSB
申万其他种植业,SWQTZZY
申万其他专业工程,SWQTZYGC
申万其他专用设备,SWQTZYSB
申万其他自动化设备,SWQTZDHSB
申万汽车,SWQC
申万汽车电子电气系统,SWQCDZDQXT
申万汽车服务,SWQCFW
申万汽车服务3,SWQCFW3
申万汽车经销商,SWQCJXS
申万汽车零部件,SWQCLBJ
申万汽车零部件3,SWQCLBJ3
申万汽车整车,SWQCZC
申万汽车综合服务,SWQCZHFW
申万铅锌,SWQX
申万铅锌3,SWQX3
申万轻工制造,SWQGZZ
申万燃机发电,SWRJFD
申万燃气2,SWRQ2
申万燃气3,SWRQ3
申万热力服务,SWRLFW
申万人工景区,SWRGJQ
申万日用化学产品,SWRYHXCP
申万肉鸡养殖,SWRJYZ
申万肉制品,SWRZP
申万乳品,SWRP
申万软件开发,SWRJKF
申万软件开发及服务3,SWRJKFJFW3
申万软饮料,SWRYL
申万商贸零售,SWSMLS
申万商业地产,SWSYDC
申万商业物业经营,SWSYWYJY
申万商业物业经营2,SWSYWYJY2
申万商业物业经营3,SWSYWYJY3
申万商用车,SWSYC
申万商用载货车,SWSYZHC
申万商用载客车,SWSYZKC
申万社会服务,SWSHFW
申万生活用纸,SWSHYZ
申万生物制品,SWSWZP
申万生物制品3,SWSWZP3
申万生猪养殖,SWSZYZ
申万石油化工,SWSYHG
申万石油加工,SWSYJG
申万石油开采2,SWSYKC2
申万石油开采3,SWSYKC3
申万石油贸易,SWSYMY
申万石油石化,SWSYSH
申万食品及饲料添加剂,SWSPJSLTJJ
申万食品加工,SWSPJG
申万食品饮料,SWSPYL
申万食品制造,SWSPZZ
申万食品综合,SWSPZH
申万饰品,SWSP
申万输变电设备,SWSBDSB
申万输变电设备3,SWSBDSB3
申万数字媒体,SWSZMT
申万数字芯片设计,SWSZXPSJ
申万水产养殖,SWSCYZ
申万水力发电,SWSLFD
申万水利工程,SWSLGC
申万水泥,SWSN
申万水泥制品,SWSNZP
申万水泥制造,SWSNZZ
申万水泥制造3,SWSNZZ3
申万水务2,SWSW2
申万水务3,SWSW3
申万水务及水治理,SWSWJSZL
申万丝绸,SWSC
申万饲料,SWSL
申万饲料3,SWSL3
申万塑料包装,SWSLBZ
申万钛白粉,SWTBF
申万炭黑,SWTH
申万陶瓷制造3,SWTCZZ3
申万特钢2,SWTG2
申万特钢3,SWTG3
申万特种纸,SWTZZ
申万体外诊断,SWTWZD
申万铁路公路,SWTLGL
申万铁路建设,SWTLJS
申万铁路运输,SWTLYS
申万铁路运输2,SWTLYS2
申万通信,SWTX
申万通信传输设备,SWTXCSSB
申万通信服务,SWTXFW
申万通信工程及服务,SWTXGCJFW
申万通信配套服务,SWTXPTFW
申万通信设备,SWTXSB
申万通信网络设备及器件,SWTXWLSBJQJ
申万通信线缆及配套,SWTXXLJPT
申万通信应用增值服务,SWTXYYZZFW
申万通信运营3,SWTXYY3
申万通信终端及配件,SWTXZDJPJ
申万通用设备,SWTYSB
申万铜,SWT
